username;date;retweets;favorites;text;hashtags
rifsulaiman;2016-07-08;0;0;Kuis Gratis euro 2016 http:// euro2016.football5star.com;
T_SHIRT2016;2016-07-08;0;0;England Euro 2016 Kit Released - Footy Headlines #EURO2016 pic.twitter.com/y5ecGsX3ZL;#EURO2016
fbbpp;2016-07-08;1;1;France's Euro 2016 semi-final hero Antoine Griezmann wants to 'finish with a flourish' as he gears up for sho... http:// dailym.ai/29AjY2H;
fbbpp;2016-07-08;0;0;Nicola Rizzoli took his time but he was right to award France a penalty against Germany in their Euro 2016 se... http:// dailym.ai/29yd1O5;
sportsbetbf;2016-07-08;0;0;France's Euro 2016 semi-final hero Antoine Griezmann wants to 'finish with a flourish' as he gears up for sho... http:// dailym.ai/29AjY2H;
sportsbetbf;2016-07-08;0;0;Nicola Rizzoli took his time but he was right to award France a penalty against Germany in their Euro 2016 se... http:// dailym.ai/29yd1O5;
DarlingReina;2016-07-08;0;0;France stuns Germany to make Euro 2016 final http://www. cnn.com/2016/07/07/foo tball/germany-france-euro-2016/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fcnn_topstories+%28RSS%3A+CNN+-+Top+Stories%29 ?;
Bastianjonat;2016-07-08;1;5;Je r?alise toujours pas qu'on est en finale c'est magique !!! Vivement dimanche #fiersdetrebleus #EURO2016;#fiersdetrebleus #EURO2016
RadioMaryja;2016-07-08;0;1;#Euro 2016. Francja w wielkim finale! http:// bit.ly/29sm0AM #FRAGER #FRA 2-0 #GER;#Euro #FRAGER #FRA #GER
allsportsfbb;2016-07-08;0;0;France's Euro 2016 semi-final hero Antoine Griezmann wants to 'finish with a flourish' as he gears up for sho... http:// dailym.ai/29AjY2H;
allsportsfbb;2016-07-08;0;0;Nicola Rizzoli took his time but he was right to award France a penalty against Germany in their Euro 2016 se... http:// dailym.ai/29yd1O5;
sntcor;2016-07-08;0;0;France's Euro 2016 semi-final hero Antoine Griezmann wants to 'finish with a flourish' as he gears up for sho... http:// dailym.ai/29AjY2H;
sntcor;2016-07-08;0;0;Nicola Rizzoli took his time but he was right to award France a penalty against Germany in their Euro 2016 se... http:// dailym.ai/29yd1O5;
sporttlad;2016-07-08;0;0;France's Euro 2016 semi-final hero Antoine Griezmann wants to 'finish with a flourish' as he gears up for sho... http:// dailym.ai/29AjY2H;
sporttlad;2016-07-08;0;0;Nicola Rizzoli took his time but he was right to award France a penalty against Germany in their Euro 2016 se... http:// dailym.ai/29yd1O5;
freebigbets;2016-07-08;0;0;France's Euro 2016 semi-final hero Antoine Griezmann wants to 'finish with a flourish' as he gears up for sho... http:// dailym.ai/29AjY2H;
samsonhorla;2016-07-08;0;0;#samsonhorla Giroud: France cannot stop now as Euro 2016 final looms: The Arsenal striker beli... http:// bit.ly/29xB7Hg #teamfollowbak;#samsonhorla #teamfollowbak
freebigbets;2016-07-08;0;0;Nicola Rizzoli took his time but he was right to award France a penalty against Germany in their Euro 2016 se... http:// dailym.ai/29yd1O5;
Marcantoine48;2016-07-08;0;0;Il y a que le Football pour vous donnez tous sa #EURO2016;#EURO2016
samsonhorla;2016-07-08;0;0;#samsonhorla Pogba & Evra's message to Juventus: We reached the Euro 2016 final to get out of ... http:// bit.ly/29ymeGc #teamfollowbak;#samsonhorla #teamfollowbak
sportingnewsww;2016-07-08;0;1;France's Euro 2016 semi-final hero Antoine Griezmann wants to 'finish with a flourish' as he gears up for sho... http:// dailym.ai/29AjY2H;
sportingnewsww;2016-07-08;0;0;Nicola Rizzoli took his time but he was right to award France a penalty against Germany in their Euro 2016 se... http:// dailym.ai/29yd1O5;
zeksof;2016-07-08;2;1;WE AREE READYYY FOR THE FINAAAL! PAW PAW PAW #FRAALL #EURO2016 pic.twitter.com/ZyIwEj0tgZ;#FRAALL #EURO2016
zidhamr;2016-07-08;0;0;Congrats #FRA @AnthonyMartial & @SchneiderlinMo4 #EURO2016 #MUFC;#FRA #EURO2016 #MUFC
ENTERATEENLIN;2016-07-08;0;0;?Portugal a la final de la Eurocopa! Venci? 2-0 a Gales http:// bit.ly/29l4eM6 #EURO2016 pic.twitter.com/lF6zl1e1ZY;#EURO2016
DerekDick65;2016-07-08;0;0;Euro 2016 : &#39;
abalcala;2016-07-08;0;3;Allez les Bleus! #EURO2016;#EURO2016
tuitFrance;2016-07-08;0;0;EN IMAGES. Euro 2016 : la folie s'empare des Champs-Elys?es http:// f.tusueldo.com/29M;
Kathy40Kathy;2016-07-08;0;0;"I would restrain on the facilement"" #Euro2016 #ForcaPortugal""";#Euro2016 #ForcaPortugal
nish_316;2016-07-08;0;0;Griezman take a bow! France vs Portugal is gonna be fun!! #EURO2016;#EURO2016
_AreyouCyrius;2016-07-08;0;1;On ?tait quand m?me bien ce soir;
cc_bocca;2016-07-08;0;5;Inoubliable. Ambiance de folie;
luckylfoxy;2016-07-08;0;2;La France vous avez gagn? contre l'islande mais trouv? vous votre propre geste de c?l?bration #islandefootball #FRAALL #Euro2016;#islandefootball #FRAALL #Euro2016
BlaugranaHome;2016-07-08;5;5;Pic | Olympique Lyonnais celebrated Samuel Umtiti reaching the final of #EURO2016 | OL | #BlaugranaLive pic.twitter.com/UNYg9Q9VmB;#EURO2016 #BlaugranaLive
JoeMontana99;2016-07-08;1;6;Habe die Wette gewonnen;
KaidouYuh;2016-07-08;0;0;?????????(??`ll) #EURO2016;#EURO2016
jcc986;2016-07-08;0;0;Y ahora la gran final de la #EURO2016 Francias vs @Cristiano ?qui?n ganar??;#EURO2016
LeBleuOutremer;2016-07-08;0;0;https://www. ttrinity.jp/product/2300563 #FRA #EURO2016;#FRA #EURO2016
Seb_AhBo78;2016-07-08;1;0;Deja que c'?tait zbeul ce soir;
3m0gdu;2016-07-08;0;0;mesutmadrid: France?s midfielder Paul Pogba celebrates with supporters after winning the Euro 2016 ... https:// tmblr.co/Zi6Zxm28zuK9Q;
wavvillegas;2016-07-08;0;0;?Portugal a la final de la Eurocopa! Venci? 2-0 a Gales http:// bit.ly/29l4eM6 #EURO2016 pic.twitter.com/hP4mPJ7oIQ;#EURO2016
cervebar;2016-07-08;0;0;Hoy gan? Francia #EURO2016 y t? cuando?. Pide tu cerveza de barril en casa para disfrutar de la gran final.;#EURO2016
1Band1D1Dream;2016-07-08;0;1;@KiSS925 @devobrown Hotline Bling by @Drake is playing...all I can think about it @AntoGriezmann post celebration after scoring #Euro2016;#Euro2016
PremierBetter;2016-07-08;0;2;Antoine Griezmann's performance during #Euro2016 has been a big F*** You to all of his critics #talent @AntoGriezmann #FRA #goals #winning;#Euro2016 #talent #FRA #goals #winning
tdmas_cr;2016-07-08;1;1;Al aire #TDMasHoy por nuestra pantalla y http://www. tdmascr.com . Repasando la #EURO2016 pic.twitter.com/Fi90Ed9odB;#TDMasHoy #EURO2016
__Elodiee;2016-07-08;0;0;ON EST EN FINAAAAAAL ! #VivezMarseille #FRAALL #GERFRA #EURO2016 pic.twitter.com/7U1LMwxUyI;#VivezMarseille #FRAALL #GERFRA #EURO2016
Bul_Tang_Fans;2016-07-08;0;0;Gagal ke Final;
Firms_ID;2016-07-08;0;0;Gagal ke Final;
Firms_ID;2016-07-08;0;0;Hasil & Jadwal 16 Besar Hingga Final Euro 2016 : BERIKUT hasil dan jadwal 16 Besar hingga final Euro 2016 di P... http:// bit.ly/29xBVf0;
SPORTAnewsID;2016-07-08;0;0;Gagal ke Final;
SPORTAnewsID;2016-07-08;0;0;Hasil & Jadwal 16 Besar Hingga Final Euro 2016 : BERIKUT hasil dan jadwal 16 Besar hingga final Euro 2016 di P... http:// bit.ly/29An4ny;
